work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,label
2021,EN,FT,Data Scientist,58000.0,US,50,US,L,Scientist
2021,EN,FT,Data Scientist,100000.0,US,100,US,M,Scientist
2021,SE,FT,Data Scientist,78340.0,FR,50,FR,M,Scientist
2021,EN,FT,Machine Learning Engineer,85000.0,NL,100,DE,S,Engineer
2021,EN,FT,Data Science Consultant,77481.0,DE,0,DE,L,Rest
2021,SE,CT,Staff Data Scientist,105000.0,US,100,US,M,Scientist
2020,EN,FT,Data Analyst,72000.0,US,100,US,L,Analyst
2021,EN,FT,Data Engineer,65561.0,DE,50,DE,M,Engineer
2021,MI,FT,Data Engineer,30337.0,TR,100,TR,M,Engineer
2021,MI,FT,Data Engineer,111775.0,US,0,US,M,Engineer
2021,MI,FT,Data Engineer,93150.0,US,0,US,M,Engineer
2021,SE,FT,Lead Data Engineer,160000.0,PR,50,US,S,Engineer
2021,MI,FT,Data Scientist,25747.0,RS,100,DE,S,Scientist
2021,SE,FT,Machine Learning Engineer,66442.0,IN,0,IN,L,Engineer
2021,MI,FT,Data Scientist,16949.0,IN,100,IN,S,Scientist
2021,SE,FT,Data Analyst,64369.0,DE,50,DE,L,Analyst
2020,SE,FT,Lead Data Scientist,190000.0,US,100,US,S,Scientist
2021,EX,FT,Director of Data Science,143043.0,DE,0,DE,L,Leader position
2021,EN,FT,Big Data Engineer,16271.0,IN,100,IN,L,Engineer
2021,SE,FT,Data Analyst,71968.0,CA,100,CA,M,Analyst
2020,MI,FT,Data Scientist,35735.0,HU,50,HU,L,Scientist
2021,SE,FT,Data Scientist,135000.0,US,0,US,L,Scientist
2021,EN,FT,Machine Learning Engineer,25032.0,DE,50,DE,M,Engineer
2021,SE,FT,Data Science Manager,54238.0,IN,50,US,L,Leader position
2021,SE,FT,Machine Learning Engineer,24407.0,IN,100,IN,L,Engineer
2021,EN,FT,BI Data Analyst,9272.0,KE,100,KE,S,Analyst
2021,MI,FT,Data Scientist,147000.0,US,50,US,L,Scientist
2021,SE,FT,Research Scientist,96357.0,CA,50,CA,L,Scientist
2021,SE,FT,Data Science Manager,174000.0,US,100,US,L,Leader position
2020,MI,FT,Business Data Analyst,135000.0,US,100,US,L,Analyst
2021,EN,FT,Machine Learning Engineer,21844.0,CO,50,CO,M,Engineer
2020,SE,FT,Lead Data Engineer,125000.0,NZ,50,NZ,S,Engineer
2020,EN,FT,Data Scientist,51321.0,FR,0,FR,S,Scientist
2020,MI,FT,Data Scientist,40481.0,IN,0,IN,L,Scientist
2021,EX,FT,Data Science Consultant,70329.0,FR,100,ES,S,Rest
2021,SE,FT,Data Analytics Engineer,50000.0,VN,100,GB,M,Engineer
2021,MI,FT,Data Engineer,4000.0,IR,100,IR,M,Engineer
2020,EN,FT,Data Scientist,39916.0,FR,0,FR,M,Scientist
2020,MI,FT,Lead Data Analyst,87000.0,US,100,US,L,Analyst
2021,MI,FT,Data Engineer,26224.0,RO,0,US,L,Engineer
2021,MI,FT,Data Scientist,91500.0,DE,50,DE,L,Scientist
2021,MI,FT,Big Data Engineer,22671.0,IN,0,IN,L,Engineer
2021,MI,FT,Data Scientist,5695.0,IN,100,US,S,Scientist
2021,EN,FT,Machine Learning Engineer,81000.0,US,50,US,S,Engineer
2021,MI,FT,Data Scientist,40798.0,CL,100,CL,L,Scientist
2021,MI,FT,Data Scientist,2876.0,MX,0,MX,S,Scientist
2021,EN,FT,Data Science Consultant,90000.0,US,100,US,S,Rest
2021,MI,FT,Data Scientist,61985.0,DE,50,AT,M,Scientist
2021,SE,FT,Machine Learning Infrastructure Engineer,195000.0,US,100,US,M,Engineer
2021,MI,FT,Data Scientist,38144.0,ES,100,ES,L,Scientist
2020,MI,FT,Data Analyst,85000.0,US,100,US,L,Analyst
2021,EX,CT,Principal Data Scientist,416000.0,US,100,US,S,Scientist
2021,SE,FT,Machine Learning Scientist,225000.0,US,100,CA,L,Scientist
2021,MI,FT,Data Scientist,56578.0,GB,50,GB,L,Scientist
2021,MI,FT,Data Scientist,33899.0,IN,0,IN,M,Scientist
2021,MI,FT,Data Scientist,117583.0,GB,50,GB,L,Scientist
2021,MI,FT,Machine Learning Engineer,47129.0,PL,100,PL,L,Engineer
2020,MI,FT,Data Analyst,8000.0,PK,50,PK,L,Analyst
2020,EN,FT,Data Engineer,41689.0,JP,100,JP,S,Engineer
2020,SE,FT,Big Data Engineer,114047.0,PL,100,GB,S,Engineer
2021,MI,FT,Machine Learning Engineer,89402.0,BE,100,BE,M,Engineer
2020,EN,FT,Data Science Consultant,5707.0,IN,50,IN,M,Rest
2020,MI,FT,Lead Data Engineer,56000.0,PT,100,US,M,Engineer
2021,EN,PT,Computer Vision Engineer,28850.0,DK,50,DK,S,Engineer
2021,MI,FT,Data Scientist,89402.0,DE,50,DE,L,Scientist
2020,MI,FT,Machine Learning Engineer,43331.0,CN,0,CN,M,Engineer
2020,MI,FT,Product Data Analyst,6072.0,IN,100,IN,L,Analyst
2020,SE,FT,Data Engineer,47899.0,GR,50,GR,L,Engineer
2020,MI,FT,BI Data Analyst,98000.0,US,0,US,M,Analyst
2021,MI,FT,Data Engineer,66400.0,HK,50,GB,S,Engineer
2021,MI,FT,Research Scientist,57217.0,FR,50,FR,S,Scientist
2021,MI,FT,Machine Learning Engineer,25032.0,SI,50,SI,L,Engineer
2021,SE,FT,Data Analytics Manager,120000.0,US,0,US,L,Leader position
2021,MI,FL,Data Engineer,20000.0,IT,0,US,L,Engineer
2020,EX,FT,Director of Data Science,325000.0,US,100,US,L,Leader position
2021,SE,FT,Machine Learning Engineer,200000.0,US,100,US,L,Engineer
2020,EN,FT,AI Scientist,45896.0,DK,50,DK,S,Scientist
2021,MI,FT,Data Scientist,160000.0,US,100,US,L,Scientist
2021,SE,FT,Research Scientist,50000.0,FR,100,US,S,Scientist
2021,MI,FT,Data Science Engineer,40529.0,GR,100,GR,M,Engineer
2021,EX,FT,Principal Data Engineer,600000.0,US,100,US,L,Engineer
2021,MI,FT,Data Scientist,13000.0,BR,0,BR,S,Scientist
2021,SE,FT,Data Engineer,165000.0,US,0,US,M,Engineer
2021,EN,FT,Big Data Engineer,5898.0,IN,0,CH,L,Engineer
2020,MI,FT,Data Scientist,42197.0,FR,50,FR,S,Scientist
2021,SE,FT,Principal Data Engineer,185000.0,US,100,US,L,Engineer
2020,EN,FT,Data Scientist,62726.0,DE,50,DE,S,Scientist
2021,MI,FT,Data Scientist,91500.0,DE,50,DE,L,Scientist
2020,EN,PT,Data Scientist,21669.0,IT,50,IT,S,Scientist
2020,MI,FT,Data Engineer,110000.0,US,100,US,L,Engineer
2021,SE,FT,Data Analytics Manager,140000.0,US,100,US,L,Leader position
2020,SE,FT,Data Scientist,120000.0,US,50,US,L,Scientist
2021,SE,FT,Data Scientist,87961.0,CA,100,CA,S,Scientist
2021,SE,FT,Finance Data Analyst,62250.0,GB,50,GB,L,Analyst
2021,MI,FL,Machine Learning Scientist,12000.0,PK,50,PK,M,Scientist
2021,SE,FT,Data Engineer,77481.0,RO,50,GB,S,Engineer
2021,MI,FT,Machine Learning Engineer,74000.0,JP,50,JP,S,Engineer
2021,SE,FT,Data Science Manager,152000.0,US,100,FR,L,Leader position
2021,MI,FT,Big Data Engineer,18000.0,MD,0,MD,S,Engineer
2020,SE,FL,Computer Vision Engineer,60000.0,RU,100,US,S,Engineer
2021,MI,FT,Data Scientist,130000.0,US,50,US,L,Scientist
2021,SE,FT,Computer Vision Engineer,19052.0,BR,0,BR,M,Engineer
2021,EN,FT,Business Data Analyst,59601.0,LU,100,LU,L,Analyst
2021,SE,FT,Principal Data Scientist,175228.0,DE,100,DE,M,Scientist
2020,SE,FT,Principal Data Scientist,148261.0,DE,100,DE,M,Scientist
2020,MI,FT,Data Scientist,38776.0,ES,100,ES,M,Scientist
2021,MI,FT,Data Scientist,47204.0,ES,100,ES,M,Scientist
2021,EN,FT,Data Scientist,4000.0,VN,0,VN,M,Scientist
2021,EN,FT,AI Scientist,18102.0,IN,100,AS,S,Scientist
2020,SE,FT,Data Scientist,91237.0,AT,0,AT,S,Scientist
2020,MI,FT,Data Scientist,62726.0,FR,50,LU,S,Scientist
2021,MI,FT,Data Scientist,115000.0,US,50,US,L,Scientist
2021,SE,FT,Principal Data Scientist,235000.0,US,100,US,L,Scientist
2021,MI,FT,Lead Data Analyst,19661.0,IN,100,IN,L,Analyst
2021,EN,PT,AI Scientist,12000.0,BR,100,US,S,Scientist
2021,MI,FT,Data Analyst,75000.0,US,0,US,L,Analyst
2021,MI,FT,Data Analyst,62000.0,US,0,US,L,Analyst
2021,MI,FT,Data Scientist,73000.0,US,0,US,L,Scientist
2021,MI,FT,Data Engineer,45773.0,NL,100,NL,L,Engineer
2020,SE,FT,Data Science Manager,190200.0,US,100,US,M,Leader position
2020,MI,FT,Data Scientist,118000.0,US,100,US,M,Scientist
2020,MI,FT,Data Scientist,138350.0,US,100,US,M,Scientist
2020,MI,FT,Data Engineer,130800.0,ES,100,US,M,Engineer
2020,SE,FT,Machine Learning Engineer,45618.0,HR,100,HR,S,Engineer
2021,SE,FT,Director of Data Science,168000.0,JP,0,JP,S,Leader position
2021,MI,FT,Data Scientist,119353.0,SG,100,IL,M,Scientist
2021,MI,FT,Applied Machine Learning Scientist,423000.0,US,50,US,L,Scientist
2021,MI,FT,Data Engineer,28608.0,MT,50,MT,L,Engineer
2021,SE,FT,Data Specialist,165000.0,US,100,US,L,Rest
2020,SE,FT,Data Scientist,412000.0,US,100,US,L,Scientist
2021,MI,FT,Principal Data Scientist,151000.0,US,100,US,L,Scientist
2020,EN,FT,Data Scientist,105000.0,US,100,US,S,Scientist
2020,EN,CT,Business Data Analyst,100000.0,US,100,US,L,Analyst
2021,SE,FT,Data Science Manager,94917.0,IN,50,IN,L,Leader position
